pen,timepoint,treatment,group,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,total,lactate
24,24,9,24_24,137.77092,111.44157000000001,1.81791,64.21401,3.1482900000000003,21.36939,2.23719,0.54867,0.19158,0.8661300000000001,463.60566,0
25,24,1,25_24,150.94926,101.32047,2.2946400000000002,54.84018,3.8208,23.29773,2.1966,0,0.6762600000000001,1.8699599999999998,461.2659,0
26,24,6,26_24,127.84476,78.8025,1.78803,75.2514,3.0122400000000003,24.41868,3.11928,0,0.71187,0.77679,436.70067,0
28,24,9,28_24,149.27676000000002,119.49692999999999,1.28793,77.12192999999999,2.12844,51.174420000000005,3.93741,0,0.3609,2.4108,549.24261,22.04709
29,24,10,29_24,157.8381,114.26538,2.8907100000000003,85.29462,4.638540000000001,31.053419999999996,3.81255,0,0.8368200000000001,1.9146899999999998,523.45104,0
31,24,6,31_24,146.04372,116.70468000000001,1.3185,56.21109,2.51865,22.51791,1.69752,0,0.40460999999999997,0.26085,467.67753,0
32,24,1,32_24,150.60192,100.9635,2.10906,57.64143,3.6069899999999997,19.58058,1.5920999999999998,0,0.67653,0.81747,457.58958,0
35,24,9,35_24,140.59716,102.38307,1.5054,56.59461,2.29245,21.6891,1.06329,0.33657,0.55311,0.41739000000000004,448.77141,0
36,24,6,36_24,133.80159,82.87559999999999,1.0454400000000001,56.37192,1.60413,11.812560000000001,1.16859,0,0.19482,0.7942199999999999,409.66887,0
37,24,3,37_24,165.96123,92.42901,2.04927,77.06865,3.56802,29.88165,1.78185,0,0.66684,5.9664,499.37292,0
39,24,1,39_24,154.72773,99.99642,1.92672,45.029579999999996,3.00774,14.36871,1.29222,0,0.54159,1.98309,442.8738,0
40,24,9,40_24,140.84118,86.37398999999999,2.0604,67.14228,3.34431,22.131,2.41548,0,0.66984,0.65256,445.63104,0
43,24,6,43_24,124.63199999999999,102.04014,2.1612,63.13959,3.2171400000000006,23.78484,4.35549,0,0.54648,1.2442199999999999,445.12109999999996,0
44,24,8,44_24,62.857980000000005,51.43644,1.6702499999999998,43.44363,4.02546,26.47323,8.64069,0,1.4666100000000002,1.5719100000000001,321.5862,0
45,24,1,45_24,125.02506000000001,99.15182999999999,1.9441799999999998,67.45821000000001,3.27066,26.01552,3.39369,0,0.56223,0.79416,447.61554,0
46,24,10,46_24,149.49399,92.55834,1.5640800000000001,74.80959,2.51412,35.67342,5.5717799999999995,0.32898,0.15714,1.5184800000000003,484.18992,0
47,24,2,47_24,133.20186,101.53134,2.79753,41.9283,4.483079999999999,18.07977,1.66731,0,1.0095,0.6980999999999999,425.39679,0
48,24,10,48_24,116.56190999999998,102.7029,2.4201300000000003,68.96567999999999,4.3134,47.7435,3.05661,0,0.41558999999999996,0.8323200000000001,467.01203999999996,0
49,24,3,49_24,202.05882000000003,149.1501,2.5926,78.40086,4.02279,45.123329999999996,3.1785000000000005,0,1.15161,1.76589,607.4445000000001,0
51,24,10,51_24,122.8836,89.81643,2.71539,45.500550000000004,4.30959,21.54186,1.43775,0,0.9595799999999999,0.7123200000000001,409.87707,0
52,24,2,52_24,124.26669,106.60236,1.91526,52.78401,3.55638,23.11686,1.5683099999999999,0.26775,0.6477299999999999,1.18578,435.91113,0
53,24,8,53_24,142.14632999999998,115.30019999999999,2.71182,69.7191,4.25967,25.570890000000002,3.9132599999999997,0.24176999999999998,0.5406599999999999,1.24302,486.83471999999995,0
57,24,2,57_24,161.97624000000002,134.04399,2.20134,68.92059,3.82986,23.81775,2.37153,0,0.6408,1.34379,519.14589,0
59,24,8,59_24,125.65857,79.9542,1.5747600000000002,63.2658,2.3664300000000003,13.95906,4.47321,0,0.41661,1.22736,412.896,0
63,24,2,63_24,132.39956999999998,101.39804999999998,1.8609900000000001,46.8495,2.814,18.26277,1.35027,0,0.47439,1.56315,426.97268999999994,0
