pignum,time,treatment,set,formate,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,fumarate,lactate,total
211,7,Acid,7_Acid,1.8009300000000001,67.46301000000001,25.848959999999998,3.1826999999999996,11.27175,3.73413,4.64427,0.84592,0,1.10385,1.96836,0.16938,14.79306,136.82632
348,7,Acid,7_Acid,2.5644299999999998,71.39751,26.34447,3.2354400000000005,9.78621,3.5976,3.8219399999999997,0.23626000000000008,0,1.04664,0.77874,0.21533999999999998,5.12631,128.15089
361,7,Acid,7_Acid,1.8595799999999998,69.52194,36.70662,4.85937,22.85877,6.5067900000000005,8.60181,2.1007,0,1.70382,0.8876999999999999,0.29358,3.89457,159.79525
378,7,Acid,7_Acid,1.8300899999999998,85.75617000000001,48.35928,5.47077,19.881300000000003,8.335920000000002,12.830490000000001,3.82747,0,2.13672,2.3349,0.28581,7.79166,198.84058000000002
426,7,Acid,7_Acid,1.51275,90.97311,32.384339999999995,5.6802,20.88657,8.473980000000001,7.47402,2.16235,0,2.29542,1.51491,0.23610000000000003,11.957819999999998,185.55157
74,7,Zn+Cu,7_Zn+Cu,2.83548,88.97694,39.884100000000004,4.53681,29.31096,6.72081,7.6731,3.08854,0,1.67007,3.0113399999999997,0.2481,1.8727200000000002,189.82897
83,7,Zn+Cu,7_Zn+Cu,0,77.93133,34.657650000000004,1.83636,12.97419,1.7106599999999998,4.09497,0.09312999999999999,0,0.38982,1.49811,0,14.15361,149.33983
219,7,Zn+Cu,7_Zn+Cu,0,72.40596000000001,35.18424,4.434150000000001,20.03046,6.30765,9.04608,0.57778,0,1.77852,1.46367,0.2328,3.25248,154.71379000000002
265,7,Zn+Cu,7_Zn+Cu,2.8938,74.66181,44.98995,2.95986,11.87799,3.4397399999999996,9.577200000000001,1.07617,0,0.91356,2.7103800000000002,0.26376,3.6364799999999997,159.0007
295,7,Zn+Cu,7_Zn+Cu,0,78.0387,35.62968,4.13433,20.2371,4.8472800000000005,6.79626,1.82035,0,1.32687,1.58556,0.24131999999999998,5.33247,159.98992
326,7,Zn+Cu,7_Zn+Cu,1.93911,80.65158000000001,38.139720000000004,5.44569,24.633779999999998,7.13175,10.985759999999999,2.3363199999999997,0,1.80729,1.65873,0.28134000000000003,2.30526,177.31633000000002
422,7,Zn+Cu,7_Zn+Cu,1.62561,93.36393000000001,33.95904,4.3381799999999995,23.82552,5.49528,8.44137,1.17682,0,1.46841,2.4246,0.19205999999999998,12.62046,188.93128000000002
432,7,Zn+Cu,7_Zn+Cu,1.63209,81.91044000000001,54.36717,5.31978,34.23726,7.6623600000000005,14.79288,3.19963,0,1.91304,1.26567,0.17199,0.48768,206.95999
